Angle Intensity Error
31.420 259.000 1.000
31.440 259.000 1.000
31.460 268.000 1.000
31.480 266.000 1.000
31.500 257.000 1.000
31.520 251.000 1.000
31.540 253.000 1.000
31.560 270.000 1.000
31.580 258.000 1.000
31.600 245.000 1.000
31.620 252.000 1.000
31.640 281.000 1.000
31.660 273.000 1.000
31.680 257.000 1.000
31.700 257.000 1.000
31.720 269.000 1.000
31.740 281.000 1.000
31.760 294.000 1.000
31.780 298.000 1.000
31.800 320.000 1.000
31.820 371.000 1.000
31.840 382.000 1.000
31.860 388.000 1.000
31.880 433.000 1.000
31.900 424.000 1.000
31.920 398.000 1.000
31.940 412.000 1.000
31.960 405.000 1.000
31.980 374.000 1.000
32.000 316.000 1.000
32.020 308.000 1.000
32.040 288.000 1.000
32.060 274.000 1.000
32.080 276.000 1.000
32.100 244.000 1.000
32.120 265.000 1.000
32.140 263.000 1.000
32.160 263.000 1.000
32.180 265.000 1.000
32.200 253.000 1.000
32.220 260.000 1.000
32.240 253.000 1.000
32.260 256.000 1.000
32.280 249.000 1.000
32.300 251.000 1.000
32.320 267.000 1.000
32.340 250.000 1.000
32.360 259.000 1.000
32.380 249.000 1.000
32.400 255.000 1.000
32.420 254.000 1.000
32.440 230.000 1.000
32.460 230.000 1.000
32.480 252.000 1.000
32.500 245.000 1.000
32.520 256.000 1.000
32.540 234.000 1.000
32.560 226.000 1.000
32.580 254.000 1.000
32.600 266.000 1.000
32.620 250.000 1.000
32.640 260.000 1.000
32.660 241.000 1.000
32.680 262.000 1.000
32.700 273.000 1.000
32.720 229.000 1.000
32.740 236.000 1.000
32.760 219.000 1.000
32.780 238.000 1.000
32.800 250.000 1.000
32.820 241.000 1.000
32.840 230.000 1.000
32.860 238.000 1.000
32.880 231.000 1.000
32.900 235.000 1.000
32.920 242.000 1.000
32.940 237.000 1.000
32.960 246.000 1.000
32.980 248.000 1.000
33.000 241.000 1.000
33.020 244.000 1.000
